target_id,variant_label,repetition_index,guesser_model,judge_model,guesser_reasoning_effort,judge_reasoning_effort,guesser_reasoning,judge_reasoning,run_id,mode,target_name,solved,turns_used,false_positive,final_question,final_question_correct,error,error_type,guesser_w_effort
place_busan,claude-opus-4-6,1,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0001__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,14,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,1,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0001__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,21,,Is the character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,1,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0001__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,16,,Is the target Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,1,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0001__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,17,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,1,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0001__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,14,,Is the settlement Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,2,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0002__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,14,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,2,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0002__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,17,,Is this character Gandalf?,True,,,claude-opus-4-6_budget_2048
place_busan,gemini-3.1-flash-lite-preview,2,gemini-3.1-flash-lite-preview,gpt-5.4-mini,,low,{'thinking_level': 'low'},{'reasoning_effort': 'low'},run-0002__full-game-test__gemini__gemini-3.1-flash-lite-preview,full-game-test,Busan,True,15,,Is the target city Busan?,True,,,gemini-3.1-flash-lite-preview
place_busan,gpt-5.4,2,gpt-5.4,gpt-5.4-mini,low,low,{'reasoning_effort': 'low'},{'reasoning_effort': 'low'},run-0002__full-game-test__openai__gpt-5.4,full-game-test,Busan,True,13,,Is the hidden target Busan?,True,,,gpt-5.4_low
place_busan,gpt-5.4-mini,2,gpt-5.4-mini,gpt-5.4-mini,high,low,{'reasoning_effort': 'high'},{'reasoning_effort': 'low'},run-0002__full-game-test__openai__gpt-5.4-mini,full-game-test,Busan,True,15,,Is the city Busan?,True,,,gpt-5.4-mini_high
place_busan,claude-opus-4-6,3,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0003__full-game-test__anthropic__claude-opus-4-6,full-game-test,Busan,True,14,,Is the hidden target Busan?,True,,,claude-opus-4-6_budget_2048
character_gandalf,claude-opus-4-6,3,claude-opus-4-6,gpt-5.4-mini,budget_2048,low,{'thinking_budget': 2048},{'reasoning_effort': 'low'},run-0003__full-game-test__anthropic__claude-opus-4-6,full-game-test,Gandalf,True,22,,Is the character Gandalf?,True,,,claude-opus-4-6_budget_2048
